HowOldAreYou,WhatIsYourSex,HowTallAreYouWithoutShoesInMeters,HowMuchDoYouWeighWithoutShoesInKG,weight,BMI,Sex,Age
4.0,1.0,1.68,72.58,0.4032,25.71570294784581,Female,15
3.0,1.0,1.6,50.35,0.4032,19.667968749999996,Female,14
4.0,2.0,1.78,77.11,0.9658,24.337204898371418,Male,15
4.0,2.0,1.8,59.88,0.9658,18.48148148148148,Male,15
3.0,1.0,1.6,51.71,0.4032,20.199218749999996,Female,14
4.0,1.0,1.73,62.6,0.4032,20.91616826489358,Female,15
4.0,1.0,1.63,82.56,0.4032,31.073807821144946,Female,15
4.0,1.0,1.63,53.98,0.4129,20.316910685385224,Female,15
4.0,1.0,1.73,61.24,0.4032,20.461759497477363,Female,15
4.0,1.0,1.57,72.12,0.4032,29.25879346018094,Female,15
5.0,1.0,1.6,81.65,0.2734,31.894531249999996,Female,16
4.0,1.0,1.65,53.98,0.4168,19.82736455463728,Female,15
7.0,2.0,1.78,78.02,0.2549,24.624416109077135,Male,18
7.0,2.0,1.9,83.92,0.2549,23.246537396121884,Male,18
7.0,2.0,1.83,81.65,0.2549,24.3811400758458,Male,18
7.0,1.0,1.68,86.18,0.2747,30.5342970521542,Female,18
3.0,1.0,1.57,45.81,0.4366,18.584932451620755,Female,14
6.0,2.0,1.9,83.92,0.2549,23.246537396121884,Male,17
7.0,2.0,1.7,68.04,0.2549,23.543252595155714,Male,18
7.0,2.0,1.75,67.13,0.2549,21.919999999999998,Male,18
7.0,2.0,1.83,127.01,0.2549,37.92588611185762,Male,18
7.0,2.0,1.65,68.04,0.2549,24.991735537190088,Male,18
7.0,2.0,1.7,74.84,0.2549,25.8961937716263,Male,18
5.0,1.0,1.65,60.33,0.4168,22.15977961432507,Female,16
6.0,2.0,1.78,77.11,0.6713,24.337204898371418,Male,17
6.0,2.0,1.8,97.52,0.6713,30.098765432098762,Male,17
6.0,1.0,1.73,72.58,0.2734,24.25072671990377,Female,17
5.0,1.0,1.45,58.97,0.2734,28.047562425683708,Female,16
6.0,1.0,1.65,81.65,0.2734,29.990817263544542,Female,17
5.0,1.0,1.63,71.22,0.2885,26.805675787571985,Female,16
6.0,2.0,1.73,81.65,0.6713,27.281232249657524,Male,17
6.0,2.0,1.75,76.66,0.6713,25.031836734693876,Male,17
6.0,1.0,1.68,58.06,0.2734,20.57114512471656,Female,17
6.0,1.0,1.7,53.52,0.2734,18.519031141868517,Female,17
7.0,1.0,1.5,48.99,0.2747,21.773333333333333,Female,18
6.0,2.0,1.68,122.47,0.2549,43.3921485260771,Male,17
7.0,2.0,1.93,89.81,0.2549,24.11071438159414,Male,18
6.0,2.0,1.65,52.16,0.2549,19.158861340679522,Male,17
7.0,1.0,1.63,68.04,0.2747,25.60879220143777,Female,18
7.0,1.0,1.52,49.9,0.2747,21.597991689750693,Female,18
1.0,2.0,1.7,68.95,0.2548,23.858131487889278,Male,12
7.0,2.0,1.7,64.41,0.2549,22.28719723183391,Male,18
5.0,2.0,1.85,79.38,0.4294,23.193571950328703,Male,16
6.0,1.0,1.63,52.62,0.2734,19.805035944145434,Female,17
6.0,1.0,1.65,49.9,0.4439,18.328741965105603,Female,17
4.0,1.0,1.6,66.68,0.4168,26.046874999999996,Female,15
5.0,1.0,1.75,109.32,0.4168,35.69632653061224,Female,16
5.0,1.0,1.7,99.79,0.4168,34.52941176470589,Female,16
4.0,1.0,1.63,66.23,0.4168,24.9275471414054,Female,15
4.0,2.0,1.83,70.76,0.4294,21.129326047358834,Male,15
5.0,1.0,1.68,77.11,0.4168,27.32071995464853,Female,16
4.0,1.0,1.57,54.89,0.4168,22.268651872286906,Female,15
5.0,2.0,1.73,58.97,0.4294,19.703297804804702,Male,16
5.0,2.0,1.85,70.76,0.1027,20.674945215485756,Male,16
5.0,1.0,1.75,70.31,0.4168,22.958367346938775,Female,16
6.0,1.0,1.45,49.9,0.2734,23.733650416171223,Female,17
6.0,1.0,1.55,49.9,0.2734,20.770031217481787,Female,17
6.0,1.0,1.73,82.56,0.2734,27.585285174913963,Female,17
6.0,1.0,1.55,72.58,0.2734,30.210197710718,Female,17
6.0,1.0,1.7,88.91,0.2734,30.764705882352942,Female,17
6.0,1.0,1.68,94.35,0.2734,33.42899659863946,Female,17
6.0,1.0,1.6,58.97,0.2734,23.035156249999996,Female,17
5.0,1.0,1.83,127.01,0.2734,37.92588611185762,Female,16
6.0,1.0,1.63,49.44,0.2734,18.608152358011218,Female,17
6.0,1.0,1.63,46.27,0.2734,17.41503255673906,Female,17
5.0,1.0,1.65,68.04,0.2734,24.991735537190088,Female,16
6.0,1.0,1.65,66.23,0.2734,24.326905417814512,Female,17
6.0,1.0,1.65,71.22,0.2734,26.15977961432507,Female,17
6.0,1.0,1.65,57.61,0.2734,21.160697887970617,Female,17
5.0,2.0,1.65,74.84,0.4294,27.48943985307622,Male,16
5.0,1.0,1.57,61.24,0.4168,24.844821290924582,Female,16
5.0,2.0,1.73,68.04,0.6713,22.733803334558456,Male,16
5.0,2.0,1.73,71.67,0.6713,23.94667379464733,Male,16
6.0,2.0,1.85,79.83,0.6105,23.32505478451424,Male,17
6.0,1.0,1.68,58.06,0.2734,20.57114512471656,Female,17
3.0,1.0,1.55,53.07,0.4032,22.0894901144641,Female,14
4.0,1.0,1.68,58.51,0.4032,20.73058390022676,Female,15
3.0,1.0,1.63,65.77,0.4032,24.754413037750762,Female,14
5.0,1.0,1.57,52.16,0.4168,21.161101870258427,Female,16
5.0,2.0,1.65,61.24,0.4294,22.494031221303953,Male,16
5.0,2.0,1.75,90.72,0.4294,29.622857142857143,Male,16
4.0,1.0,1.7,73.94,0.4168,25.584775086505193,Female,15
4.0,2.0,1.8,61.24,0.4294,18.901234567901234,Male,15
6.0,2.0,1.8,86.18,0.4294,26.598765432098766,Male,17
5.0,1.0,1.55,58.97,0.4168,24.54526534859521,Female,16
6.0,1.0,1.63,54.89,0.4168,20.659415107832437,Female,17
5.0,1.0,1.8,79.38,0.1254,24.499999999999996,Female,16
3.0,2.0,1.6,47.63,0.9658,18.605468749999996,Male,14
4.0,1.0,1.57,46.72,0.4032,18.954115785630247,Female,15
5.0,1.0,1.7,75.75,0.4032,26.211072664359865,Female,16
4.0,2.0,1.88,72.58,0.9658,20.53531009506564,Male,15
4.0,2.0,1.57,43.55,0.9658,17.668059556168604,Male,15
4.0,2.0,1.68,83.92,0.9658,29.73356009070295,Male,15
4.0,2.0,1.5,56.7,0.9658,25.200000000000003,Male,15
4.0,2.0,1.78,83.46,0.9658,26.341371039010223,Male,15
3.0,1.0,1.57,65.77,0.4032,26.682624041543264,Female,14
4.0,1.0,1.65,68.95,0.4032,25.325987144168966,Female,15
3.0,1.0,1.5,48.08,0.4032,21.36888888888889,Female,14
5.0,1.0,1.7,78.47,0.4032,27.1522491349481,Female,16
4.0,1.0,1.68,59.88,0.4032,21.215986394557827,Female,15
4.0,1.0,1.7,61.24,7.8431,21.190311418685123,Female,15
6.0,1.0,1.6,79.38,6.327,31.007812499999993,Female,17
5.0,1.0,1.65,56.7,6.327,20.82644628099174,Female,16
6.0,1.0,1.68,78.93,3.1173,27.965561224489804,Female,17
7.0,2.0,1.75,63.5,3.0495,20.73469387755102,Male,18
6.0,2.0,1.75,72.58,6.5799,23.699591836734694,Male,17
4.0,2.0,1.78,83.92,8.1301,26.48655472793839,Male,15
4.0,2.0,1.9,81.65,0.3252,22.61772853185596,Male,15
4.0,2.0,1.83,63.5,0.3252,18.961450028367523,Male,15
3.0,2.0,1.83,65.77,0.176,19.639284541192627,Male,14
6.0,1.0,1.5,47.63,0.2337,21.16888888888889,Female,17
6.0,1.0,1.68,58.97,0.2337,20.89356575963719,Female,17
6.0,1.0,1.55,62.6,0.1811,26.05619146722164,Female,17
6.0,2.0,1.78,72.58,0.2744,22.907461179144047,Male,17
7.0,2.0,1.78,95.26,0.2744,30.065648276732738,Male,18
7.0,2.0,1.83,102.06,0.2744,30.475678581026603,Male,18
7.0,2.0,1.7,69.85,0.2744,24.169550173010382,Male,18
7.0,2.0,1.73,68.04,0.2744,22.733803334558456,Male,18
7.0,2.0,1.7,88.45,0.2744,30.605536332179934,Male,18
6.0,2.0,1.93,106.6,0.2744,28.61821793873661,Male,17
6.0,2.0,1.7,83.92,0.2744,29.038062283737027,Male,17
7.0,2.0,1.9,68.04,0.2744,18.847645429362885,Male,18
6.0,1.0,1.68,63.5,0.2495,22.498582766439913,Female,17
6.0,1.0,1.7,127.01,0.2495,43.94809688581316,Female,17
6.0,2.0,1.85,112.95,0.2744,33.002191380569755,Male,17
5.0,2.0,1.9,102.06,0.2819,28.271468144044324,Male,16
6.0,2.0,1.78,88.45,0.2819,27.91629844716576,Male,17
5.0,2.0,1.73,65.77,0.2819,21.975341641885795,Male,16
5.0,2.0,1.8,92.08,0.2819,28.41975308641975,Male,16
5.0,2.0,1.65,56.7,0.2819,20.82644628099174,Male,16
6.0,2.0,1.9,88.45,0.2819,24.50138504155125,Male,17
6.0,2.0,1.75,99.79,0.2819,32.58448979591837,Male,17
5.0,2.0,1.78,99.79,0.2819,31.49539199596011,Male,16
5.0,1.0,1.63,86.18,0.3843,32.43629794120969,Female,16
5.0,1.0,1.83,81.65,0.3843,24.3811400758458,Female,16
3.0,2.0,1.8,97.07,0.1815,29.959876543209873,Male,14
3.0,2.0,1.96,81.65,0.1815,21.254164931278638,Male,14
3.0,2.0,1.73,65.77,0.1815,21.975341641885795,Male,14
3.0,2.0,1.63,90.72,0.1815,34.14505626858369,Male,14
3.0,2.0,1.68,57.61,0.1815,20.41170634920635,Male,14
4.0,1.0,1.78,64.41,0.1815,20.3288726170938,Female,15
3.0,1.0,1.52,52.16,0.1815,22.576177285318558,Female,14
3.0,1.0,1.52,81.65,0.1815,35.34020083102493,Female,14
4.0,1.0,1.65,86.18,0.1815,31.65472910927457,Female,15
3.0,1.0,1.5,39.01,0.1815,17.337777777777777,Female,14
3.0,1.0,1.6,82.56,0.1815,32.24999999999999,Female,14
3.0,1.0,1.7,91.63,0.1815,31.705882352941178,Female,14
4.0,1.0,1.55,68.95,0.1815,28.69927159209157,Female,15
5.0,2.0,1.68,63.5,0.1815,22.498582766439913,Male,16
4.0,2.0,1.68,65.77,0.3231,23.302862811791385,Male,15
4.0,2.0,1.8,63.5,0.3231,19.598765432098766,Male,15
4.0,2.0,1.88,83.92,0.3231,23.743775464010866,Male,15
4.0,2.0,1.83,50.35,0.3231,15.034787542178027,Male,15
4.0,1.0,1.8,57.15,0.2154,17.638888888888886,Female,15
4.0,1.0,1.68,79.38,0.2154,28.125000000000004,Female,15
5.0,1.0,1.57,54.43,0.2154,22.082031725424965,Female,16
4.0,1.0,1.68,68.49,0.2154,24.266581632653065,Female,15
7.0,1.0,1.52,45.36,0.3843,19.632963988919666,Female,18
5.0,1.0,1.65,60.78,0.2154,22.32506887052342,Female,16
4.0,2.0,1.9,106.6,0.6182,29.529085872576175,Male,15
4.0,1.0,1.75,77.11,0.7043,25.17877551020408,Female,15
4.0,1.0,1.73,82.56,0.708,27.585285174913963,Female,15
4.0,2.0,1.65,55.34,0.6182,20.326905417814512,Male,15
5.0,2.0,1.75,90.72,0.6328,29.622857142857143,Male,16
4.0,2.0,1.75,54.43,0.6182,17.773061224489794,Male,15
4.0,2.0,1.7,59.42,0.6182,20.560553633217996,Male,15
4.0,2.0,1.8,65.77,0.6182,20.29938271604938,Male,15
3.0,1.0,1.65,54.43,0.6696,19.99265381083563,Female,14
5.0,1.0,1.57,49.9,0.7501,20.24422897480628,Female,16
4.0,2.0,1.88,54.43,0.6182,15.400067904028973,Male,15
4.0,1.0,1.68,56.7,0.6696,20.08928571428572,Female,15
4.0,2.0,1.75,56.7,0.6182,18.514285714285716,Male,15
4.0,1.0,1.65,56.25,0.6539,20.66115702479339,Female,15
4.0,2.0,1.78,95.26,0.6182,30.065648276732738,Male,15
3.0,1.0,1.52,54.43,0.708,23.558691135734072,Female,14
5.0,2.0,1.78,61.24,0.7775,19.328367630349703,Male,16
4.0,2.0,1.68,77.11,0.6182,27.32071995464853,Male,15
3.0,1.0,1.5,65.77,0.8382,29.231111111111108,Female,14
4.0,2.0,1.83,77.11,0.6182,23.025471050195584,Male,15
5.0,2.0,1.78,61.24,0.6182,19.328367630349703,Male,16
3.0,2.0,1.57,68.04,0.525,27.60355389670981,Male,14
4.0,1.0,1.6,51.71,0.4389,20.199218749999996,Female,15
3.0,1.0,1.6,58.06,0.708,22.679687499999996,Female,14
7.0,1.0,1.6,65.77,0.3604,25.691406249999993,Female,18
7.0,1.0,1.57,54.43,0.4377,22.082031725424965,Female,18
6.0,2.0,1.8,79.83,0.4972,24.638888888888886,Male,17
6.0,1.0,1.7,62.14,0.4377,21.50173010380623,Female,17
6.0,1.0,1.63,64.86,0.4377,24.41190861530355,Female,17
7.0,2.0,1.8,56.7,0.3893,17.5,Male,18
7.0,2.0,1.83,104.33,0.4972,31.153513093851707,Male,18
7.0,2.0,1.75,72.58,0.3892,23.699591836734694,Male,18
7.0,2.0,1.8,64.86,0.4972,20.018518518518515,Male,18
6.0,2.0,1.83,77.11,0.3893,23.025471050195584,Male,17
7.0,1.0,1.6,52.16,0.3604,20.374999999999996,Female,18
7.0,2.0,1.6,54.43,0.3893,21.261718749999996,Male,18
6.0,1.0,1.7,79.38,0.4377,27.467128027681664,Female,17
6.0,1.0,1.65,68.95,0.3604,25.325987144168966,Female,17
7.0,2.0,1.7,90.72,0.4972,31.391003460207614,Male,18
7.0,1.0,1.68,58.06,0.4377,20.57114512471656,Female,18
7.0,2.0,1.78,92.99,0.4972,29.349198333543743,Male,18
6.0,1.0,1.6,56.25,0.4377,21.972656249999996,Female,17
6.0,2.0,1.65,61.24,0.4519,22.494031221303953,Male,17
6.0,2.0,1.85,79.83,0.4972,23.32505478451424,Male,17
7.0,1.0,1.57,56.7,0.3604,23.002961580591506,Female,18
7.0,1.0,1.52,46.27,0.3604,20.026835180055404,Female,18
6.0,2.0,1.8,63.5,0.3892,19.598765432098766,Male,17
7.0,2.0,1.85,87.09,0.4519,25.446311176040904,Male,18
7.0,1.0,1.8,77.11,0.6696,23.79938271604938,Female,18
7.0,1.0,1.65,58.06,0.4377,21.325987144168966,Female,18
5.0,2.0,1.88,68.04,0.9541,19.250792213671346,Male,16
5.0,2.0,1.65,66.23,0.6328,24.326905417814512,Male,16
4.0,1.0,1.57,53.07,0.6824,21.530285204267923,Female,15
5.0,1.0,1.63,54.43,0.7501,20.4862810041778,Female,16
4.0,2.0,1.75,49.9,0.7775,16.293877551020408,Male,15
6.0,1.0,1.68,53.52,0.7501,18.96258503401361,Female,17
5.0,1.0,1.65,53.52,0.7501,19.658402203856753,Female,16
5.0,2.0,1.73,58.97,0.74,19.703297804804702,Male,16
5.0,2.0,1.78,65.77,0.8754,20.75811134957707,Male,16
7.0,1.0,1.6,65.77,0.3604,25.691406249999993,Female,18
7.0,1.0,1.42,47.63,0.4389,23.621305296568142,Female,18
7.0,1.0,1.65,56.7,0.4377,20.82644628099174,Female,18
6.0,2.0,1.68,58.97,0.9541,20.89356575963719,Male,17
5.0,2.0,1.7,56.7,0.7775,19.61937716262976,Male,16
6.0,1.0,1.63,49.9,0.5167,18.781286461665854,Female,17
6.0,2.0,1.57,52.16,0.9541,21.161101870258427,Male,17
5.0,2.0,1.73,55.79,0.3892,18.640783186875606,Male,16
6.0,2.0,1.8,71.22,0.8754,21.98148148148148,Male,17
6.0,1.0,1.52,53.52,0.5167,23.16481994459834,Female,17
5.0,1.0,1.55,52.62,0.5167,21.902185223725283,Female,16
6.0,1.0,1.57,58.97,0.1581,23.92389143575804,Female,17
6.0,1.0,1.63,63.5,0.4389,23.90003387406376,Female,17
6.0,1.0,1.7,72.58,0.5167,25.114186851211073,Female,17
6.0,1.0,1.88,68.95,0.4377,19.50826165685831,Female,17
4.0,1.0,1.63,58.51,0.5167,22.021905227897175,Female,15
6.0,1.0,1.63,62.6,0.4389,23.561293236478605,Female,17
6.0,1.0,1.63,52.16,0.5167,19.631901840490798,Female,17
6.0,1.0,1.6,54.43,0.5167,21.261718749999996,Female,17
6.0,1.0,1.73,57.61,0.5167,19.248889037388484,Female,17
4.0,1.0,1.78,65.77,0.5167,20.75811134957707,Female,15
6.0,1.0,1.57,46.72,0.5167,18.954115785630247,Female,17
6.0,1.0,1.68,57.15,0.5167,20.248724489795922,Female,17
6.0,1.0,1.63,47.63,0.4389,17.92690729797885,Female,17
3.0,2.0,1.7,54.43,0.4234,18.833910034602077,Male,14
4.0,2.0,1.68,55.34,0.128,19.60742630385488,Male,15
4.0,2.0,1.88,95.71,0.3721,27.07956088727931,Male,15
5.0,2.0,1.73,68.95,0.4234,23.037856259814895,Male,16
4.0,2.0,1.73,87.54,0.3596,29.249223161482174,Male,15
4.0,2.0,1.75,65.32,0.4234,21.32897959183673,Male,15
3.0,2.0,1.68,72.12,0.3721,25.55272108843538,Male,14
4.0,2.0,1.73,83.01,0.3721,27.735641017073743,Male,15
4.0,2.0,1.78,55.34,0.4234,17.466229011488448,Male,15
3.0,2.0,1.65,53.98,0.3721,19.82736455463728,Male,14
4.0,2.0,1.7,56.25,0.4234,19.463667820069205,Male,15
3.0,2.0,1.45,45.36,0.3721,21.574316290130795,Male,14
3.0,1.0,1.57,52.16,0.6675,21.161101870258427,Female,14
4.0,1.0,1.65,56.25,0.7058,20.66115702479339,Female,15
3.0,1.0,1.55,52.16,0.7058,21.710718002081162,Female,14
4.0,1.0,1.65,61.69,0.7058,22.6593204775023,Female,15
4.0,1.0,1.6,56.7,0.6675,22.148437499999996,Female,15
4.0,2.0,1.63,61.24,0.4089,23.049418495238815,Male,15
4.0,2.0,1.8,73.94,0.4234,22.820987654320984,Male,15
4.0,2.0,1.8,61.24,0.4234,18.901234567901234,Male,15
4.0,2.0,1.7,49.9,0.3721,17.26643598615917,Male,15
4.0,2.0,1.78,64.41,0.4234,20.3288726170938,Male,15
5.0,2.0,1.83,72.58,0.5152,21.672788079667946,Male,16
4.0,2.0,1.85,70.31,0.4193,20.543462381300216,Male,15
5.0,2.0,1.85,74.84,0.5152,21.867056245434622,Male,16
4.0,2.0,1.85,64.41,0.4193,18.819576333089845,Male,15
5.0,2.0,1.57,44.45,0.5152,18.03318593046371,Male,16
5.0,2.0,1.75,56.7,0.4904,18.514285714285716,Male,16
5.0,2.0,1.8,68.04,0.4193,21.0,Male,16
4.0,2.0,1.88,69.4,0.5152,19.635581711181533,Male,15
5.0,2.0,1.8,43.09,0.5152,13.299382716049383,Male,16
6.0,1.0,1.57,57.61,0.5278,23.372144914600998,Female,17
5.0,2.0,1.83,86.18,0.5152,25.733823046373434,Male,16
5.0,1.0,1.63,43.09,0.5649,16.218148970604844,Female,16
5.0,1.0,1.52,44.0,0.4568,19.04432132963989,Female,16
4.0,1.0,1.65,50.8,0.5649,18.6593204775023,Female,15
